Brand,Model,Price,Year,Mileage,Transmission type,Fuel type,Location,Link,Posted On
Opel,Vectra,"280,000 EGP",2003,"170,000 KM",Automatic,Gas,"Mansoura, Dakahlia",https://eg.hatla2ee.com/en/car/opel/vectra/7238427,2026-06-25
Fiat,500 X,"1,100,000 EGP",2021,"58,000 KM",Automatic,Gas,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/car/fiat/500X/7238428,2026-06-25
Mitsubishi,Eclipse Cross,"1,020,000 EGP",2021,"80,000 KM",Automatic,Gas,"Heliopolis, Cairo",https://eg.hatla2ee.com/en/car/mitsubishi/Eclipse-Cross/7238425,2026-06-25
Mercedes,CLA 300L,"2,900,000 EGP",2026,0 KM,Automatic,Electric,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/new-car/mercedes/cla-300l/unit/7203330,2026-06-25
Renault,Logan,"175,000 EGP",2010,"310,000 KM",Manual,Gas,"Zahraa Al Maadi, Maadi, Cairo",https://eg.hatla2ee.com/en/car/renault/logan/7238424,2026-06-25
Suzuki,Van,"560,000 EGP",2026,0 KM,Manual,Gas,"10th of Ramadan, Cairo",https://eg.hatla2ee.com/en/new-car/suzuki/van/unit/7238423,2026-06-25
Ford,Bronco Raptor,"9,000,000 EGP",2024,"12,000 KM",Automatic,Gas,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/car/ford/Bronco-Raptor/7188661,2026-06-25
Cadillac,Vistiq,"4,980,000 EGP",2026,0 KM,Automatic,Electric,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/new-car/cadillac/vistiq/unit/7192345,2026-06-25
Nissan,Sunny,"650,000 EGP",2022,"230,000 KM",Automatic,Gas,Giza,https://eg.hatla2ee.com/en/car/nissan/sunny/7238414,2026-06-25
BMW,318,"3,000,000 EGP",2026,0 KM,Automatic,Gas,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/new-car/bmw/318/unit/7192352,2026-06-25
Fiat,128,"35,000 EGP",1985,0 KM,Manual,Diesel,"Kom Hamada, Beheira",https://eg.hatla2ee.com/en/car/fiat/128/7238422,2026-06-25
Nissan,Armada,"6,945,000 EGP",2025,"7,000 KM",Automatic,Gas,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/car/nissan/armada/7192336,2026-06-25
Land Rover,Range Rover Evoque,"4,200,000 EGP",2026,0 KM,Automatic,Gas,"Sheikh Zayed City, Giza",https://eg.hatla2ee.com/en/new-car/land-rover/evoque/unit/7195805,2026-06-25
Land Rover,Range Rover Evoque,"4,200,000 EGP",2026,0 KM,Automatic,Gas,"Sheikh Zayed City, Giza",https://eg.hatla2ee.com/en/new-car/land-rover/evoque/unit/7195811,2026-06-25
Xiaomi,Yu7,"3,150,000 EGP",2025,0 KM,Automatic,Electric,"Sheikh Zayed City, Giza",https://eg.hatla2ee.com/en/new-car/xiaomi/xiaomi-yu7/unit/7195835,2026-06-25
Opel,Grandland,"1,550,000 EGP",2024,"59,000 KM",Automatic,Gas,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/car/opel/Grandland/7238420,2026-06-25
Mercedes,E 200,"2,700,000 EGP",2024,"4,628 KM",Automatic,Gas,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/car/mercedes/e-200/7190916,2026-06-25
Mercedes,C 200,"4,200,000 EGP",2026,0 KM,Automatic,Gas,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/new-car/mercedes/c-200/unit/7195765,2026-06-25
Fiat,500 X,"1,100,000 EGP",2026,0 KM,Automatic,Gas,"Nasr city, Cairo",https://eg.hatla2ee.com/en/new-car/fiat/500X/unit/7238417,2026-06-25
Opel,Crossland,"740,000 EGP",2021,"80,000 KM",Automatic,Gas,"Heliopolis, Cairo",https://eg.hatla2ee.com/en/car/opel/Crossland/7238415,2026-06-25
Xiaomi,Yu7,"3,150,000 EGP",2025,0 KM,Automatic,Electric,"Sheikh Zayed City, Giza",https://eg.hatla2ee.com/en/new-car/xiaomi/xiaomi-yu7/unit/7195762,2026-06-25
Mercedes,GLA 200,"1,800,000 EGP",2024,"19,987 KM",Automatic,Gas,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/car/mercedes/GLA-200/7209889,2026-06-25
Mercedes,C 200,"4,250,000 EGP",2026,0 KM,Automatic,Gas,"Sheikh Zayed City, Giza",https://eg.hatla2ee.com/en/new-car/mercedes/c-200/unit/7195851,2026-06-25
Mercedes,E 200,"3,450,000 EGP",2021,"62,000 KM",Automatic,Gas,"Sheikh Zayed City, Giza",https://eg.hatla2ee.com/en/car/mercedes/e-200/7225268,2026-06-25
Land Rover,Range Rover Evoque,"3,950,000 EGP",2025,0 KM,Automatic,Gas,"Sheikh Zayed City, Giza",https://eg.hatla2ee.com/en/new-car/land-rover/evoque/unit/7195818,2026-06-25
Cupra,Formentor,"2,125,000 EGP",2026,0 KM,Automatic,Gas,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/new-car/cupra/Formentor/unit/7227746,2026-06-25
Mercedes,E 200,"5,850,000 EGP",2026,0 KM,Automatic,Gas,"Heliopolis, Cairo",https://eg.hatla2ee.com/en/new-car/mercedes/e-200/unit/41191,2026-06-25
Mercedes,GLC 300,"5,850,000 EGP",2026,0 KM,Automatic,Gas,"Sheikh Zayed City, Giza",https://eg.hatla2ee.com/en/new-car/mercedes/glc-300/unit/7210758,2026-06-25
Chevrolet,Optra,"510,000 EGP",2019,"133,000 KM",Automatic,Diesel,Cairo,https://eg.hatla2ee.com/en/car/chevrolet/optra/7238412,2026-06-25
Skoda,Rapid,"625,000 EGP",2015,"225,000 KM",Automatic,Natural Gas,Alexandria,https://eg.hatla2ee.com/en/car/skoda/rapid/7238407,2026-06-25
BMW,118,"1,750,000 EGP",2021,"17,000 KM",Automatic,Gas,"Sheikh Zayed City, Giza",https://eg.hatla2ee.com/en/car/bmw/118/7227613,2026-06-25
Hyundai,Santa Fe,"980,000 EGP",2016,"170,000 KM",Automatic,Gas,"Faisal, Giza",https://eg.hatla2ee.com/en/car/hyundai/santa-fe/7237471,2026-06-25
Suzuki,Swift,"860,000 EGP",2026,0 KM,Automatic,Gas,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/new-car/suzuki/swift/unit/7238409,2026-06-25
Soueast,S 06,"1,350,000 EGP",2027,0 KM,Automatic,Gas,"Nasr city, Cairo",https://eg.hatla2ee.com/en/new-car/soueast/S+06/unit/7238405,2026-06-25
MG,ZS,"799,000 EGP",2021,"185,000 KM",Automatic,Gas,"Sheikh Zayed City, Giza",https://eg.hatla2ee.com/en/car/moris-garage/zs/7238375,2026-06-25
Opel,Vectra,"140,000 EGP",1994,"350,000 KM",Automatic,Diesel,Alexandria,https://eg.hatla2ee.com/en/car/opel/vectra/7238404,2026-06-25
Baic,X7,"1,430,000 EGP",2026,0 KM,Automatic,Gas,"Nasr city, Cairo",https://eg.hatla2ee.com/en/new-car/baic/BEIJING-X7/unit/7238399,2026-06-25
Ford,Fiesta,"75,000 EGP",2000,"9,999,999 KM",Manual,Gas,"Al Khosous, Qalyubia",https://eg.hatla2ee.com/en/car/ford/fiesta/7238403,2026-06-25
Mercedes,GLC 200,"4,350,000 EGP",2023,"13,000 KM",Automatic,Gas,"Obour City, Cairo",https://eg.hatla2ee.com/en/car/mercedes/GLC-200/7238402,2026-06-25
Mercedes,GLC 300,"4,650,000 EGP",2023,0 KM,Automatic,Gas,"Obour City, Cairo",https://eg.hatla2ee.com/en/new-car/mercedes/glc-300/unit/7238401,2026-06-25
MG,ZS,"799,000 EGP",2021,"185,000 KM",Automatic,Gas,"Sheikh Zayed City, Giza",https://eg.hatla2ee.com/en/car/moris-garage/zs/7238375,2026-06-25
Opel,Vectra,"140,000 EGP",1994,"350,000 KM",Automatic,Diesel,Alexandria,https://eg.hatla2ee.com/en/car/opel/vectra/7238404,2026-06-25
Baic,X7,"1,430,000 EGP",2026,0 KM,Automatic,Gas,"Nasr city, Cairo",https://eg.hatla2ee.com/en/new-car/baic/BEIJING-X7/unit/7238399,2026-06-25
Ford,Fiesta,"75,000 EGP",2000,"9,999,999 KM",Manual,Gas,"Al Khosous, Qalyubia",https://eg.hatla2ee.com/en/car/ford/fiesta/7238403,2026-06-25
Mercedes,GLC 200,"4,350,000 EGP",2023,"13,000 KM",Automatic,Gas,"Obour City, Cairo",https://eg.hatla2ee.com/en/car/mercedes/GLC-200/7238402,2026-06-25
Mercedes,GLC 300,"4,650,000 EGP",2023,0 KM,Automatic,Gas,"Obour City, Cairo",https://eg.hatla2ee.com/en/new-car/mercedes/glc-300/unit/7238401,2026-06-25
Soueast,S 07,"1,390,000 EGP",2027,0 KM,Automatic,Gas,"Nasr city, Cairo",https://eg.hatla2ee.com/en/new-car/soueast/S+07/unit/7238398,2026-06-25
Cupra,Terramar,"2,385,000 EGP",2026,"7,000 KM",Automatic,Gas,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/car/cupra/Terramar/7238333,2026-06-25
Mercedes,GLC 300,"5,800,000 EGP",2026,0 KM,Automatic,Gas,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/new-car/mercedes/glc-300/unit/7238334,2026-06-25
Kia,Cerato,"750,000 EGP",2017,"95,000 KM",Automatic,Diesel,"El Haram, Giza",https://eg.hatla2ee.com/en/car/kia/cerato/7238396,2026-06-25
Hyundai,Tucson GDI,"1,950,000 EGP",2025,"13,000 KM",Automatic,Gas,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/car/hyundai/Tucson-GDI/7233700,2026-06-25
Mercedes,C 180,"2,900,000 EGP",2024,"8,000 KM",Automatic,Gas,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/car/mercedes/c-180/7233703,2026-06-25
Soueast,S 09,"1,600,000 EGP",2027,0 KM,Automatic,Gas,"Heliopolis, Cairo",https://eg.hatla2ee.com/en/new-car/soueast/S+09/unit/7238397,2026-06-25
Cupra,Terramar,"2,500,000 EGP",2026,0 KM,Automatic,Gas,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/new-car/cupra/Terramar/unit/7238332,2026-06-25
Renault,Duster,"710,000 EGP",2019,"133,000 KM",Automatic,Gas,"6 October, Giza",https://eg.hatla2ee.com/en/car/renault/duster/7236459,2026-06-25
Mercedes,C 180,"1,820,000 EGP",2024,"9,239 KM",Automatic,Gas,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/car/mercedes/c-180/7209811,2026-06-25
Mercedes,GLA 200,"1,470,000 EGP",2018,"151,000 KM",Automatic,Gas,Cairo,https://eg.hatla2ee.com/en/car/mercedes/GLA-200/7238391,2026-06-25
Toyota,Corolla,"680,000 EGP",2010,0 KM,Automatic,Gas,"Kafr el-Dawwar, Beheira",https://eg.hatla2ee.com/en/car/toyota/corolla/7237664,2026-06-25
Jetour,T2,"2,450,000 EGP",2027,0 KM,Automatic,Hybrid,"Heliopolis, Cairo",https://eg.hatla2ee.com/en/new-car/jetour/T2/unit/7238394,2026-06-25
Kia,Ceed,"1,250,000 EGP",2022,"30,000 KM",Automatic,Gas,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/car/kia/ceed/7237972,2026-06-25
Chery,Tiggo,"1,250,000 EGP",2023,"20,000 KM",Automatic,Gas,"Sheikh Zayed City, Giza",https://eg.hatla2ee.com/en/car/chery/chery-tiggo/7237962,2026-06-25
Chevrolet,Aveo,"365,000 EGP",2011,"175,000 KM",Automatic,Gas,"Sheraton, Cairo",https://eg.hatla2ee.com/en/car/chevrolet/aveo/7238392,2026-06-25
Chevrolet,Aveo,"290,000 EGP",2012,"282,000 KM",Manual,Gas,"Sadat City, Monufia",https://eg.hatla2ee.com/en/car/chevrolet/aveo/7231231,2026-06-25
MG,One,"1,450,000 EGP",2026,0 KM,Automatic,Gas,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/new-car/moris-garage/MG+One/unit/7223194,2026-06-25
Chery,Arrizo 5,"630,000 EGP",2025,"20,000 KM",Automatic,Gas,Cairo,https://eg.hatla2ee.com/en/car/chery/Arrizo-5/7238383,2026-06-25
Porsche,Cayenne S,"7,000,000 EGP",2026,0 KM,Automatic,Electric,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/new-car/porsche/cayenne-s/unit/7188260,2026-06-25
Volkswagen,Tayron,"2,817,000 EGP",2026,0 KM,Automatic,Gas,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/new-car/volks-wagen/tayron/unit/7238388,2026-06-25
Renault,Taliant,"750,000 EGP",2026,"5,000 KM",Automatic,Gas,"Smouha, Alexandria",https://eg.hatla2ee.com/en/car/renault/Taliant/7238387,2026-06-25
Audi,TT,"5,500,000 EGP",2023,"8,000 KM",Automatic,Gas,"Heliopolis, Cairo",https://eg.hatla2ee.com/en/car/audi/tt/7194551,2026-06-25
Hyundai,Tucson,"1,550,000 EGP",2021,"12,000 KM",Automatic,Gas,Cairo,https://eg.hatla2ee.com/en/car/hyundai/tucson/7238358,2026-06-25
Peugeot,504 SW,"95,000 EGP",1981,"800,000 KM",Manual,Natural Gas,"Zahraa Al Maadi, Maadi, Cairo",https://eg.hatla2ee.com/en/car/peugeot/peugeot-504-sw/7238386,2026-06-25
Hyundai,I10,"550,000 EGP",2015,"110,000 KM",Automatic,Gas,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/car/hyundai/i10/7238384,2026-06-25
Skoda,Octavia A7,"680,000 EGP",2014,"340,000 KM",Automatic,Diesel,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/car/skoda/Octavia-A7/7235485,2026-06-25
Hyundai,Accent RB,"800,000 EGP",2025,0 KM,Automatic,Natural Gas,Cairo,https://eg.hatla2ee.com/en/car/hyundai/Accent-RB/7238376,2026-06-25
Land Rover,Velar,"3,900,000 EGP",2021,"35,000 KM",Automatic,Gas,"Smouha, Alexandria",https://eg.hatla2ee.com/en/car/land-rover/Velar/7238379,2026-06-25
Renault,Megane,"1,280,000 EGP",2026,"22,000 KM",Automatic,Diesel,Cairo,https://eg.hatla2ee.com/en/car/renault/megane/7235730,2026-06-25
Mercedes,EQS 580,"6,900,000 EGP",2025,"3,000 KM",Automatic,Electric,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/car/mercedes/mercedes-benz-eqs-580/7221528,2026-06-25
Chevrolet,Optra,"750,000 EGP",2026,"5,000 KM",Automatic,Gas,"Shibin el Kom , Monufia",https://eg.hatla2ee.com/en/car/chevrolet/optra/7238377,2026-06-25
Hyundai,Avante,"1,230,000 EGP",2021,"86,000 KM",Automatic,Gas,"6 October, Giza",https://eg.hatla2ee.com/en/car/hyundai/avante/7238371,2026-06-25
Opel,Insignia,"990,000 EGP",2018,"200,000 KM",Automatic,Gas,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/car/opel/insignia/7238372,2026-06-25
Opel,Insignia,"990,000 EGP",2018,"200,000 KM",Automatic,Gas,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/car/opel/insignia/7238372,2026-06-25
Xiaomi,Yu7,"3,600,000 EGP",2025,0 KM,Automatic,Electric,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/new-car/xiaomi/xiaomi-yu7/unit/7205587,2026-06-25
Fiat,500 X,"1,090,000 EGP",2026,0 KM,Automatic,Gas,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/new-car/fiat/500X/unit/7238374,2026-06-25
Skoda,Octavia,"1,650,000 EGP",2024,"34,000 KM",Automatic,Gas,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/car/skoda/octavia/7238368,2026-06-25
Toyota,Corolla,"1,325,000 EGP",2024,"60,000 KM",Automatic,Gas,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/car/toyota/corolla/7234034,2026-06-25
Arcfox,Other,"1,650,000 EGP",2027,0 KM,Automatic,Electric,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/new-car/arcfox/other-arcfox/unit/7238367,2026-06-25
BMW,X3 M,"2,000,000 EGP",2015,"50,000 KM",Automatic,Gas,"Shibin el Kom , Monufia",https://eg.hatla2ee.com/en/car/bmw/X3-M/7238370,2026-06-25
Chery,Arrizo 5,"510,000 EGP",2022,"98,000 KM",Manual,Gas,Cairo,https://eg.hatla2ee.com/en/car/chery/Arrizo-5/7238366,2026-06-25
Nissan,Sunny,"460,000 EGP",2017,"139,000 KM",Automatic,Diesel,"Mansoura, Dakahlia",https://eg.hatla2ee.com/en/car/nissan/sunny/7238365,2026-06-25
Hyundai,I10,"535,000 EGP",2016,84 KM,Automatic,Diesel,Giza,https://eg.hatla2ee.com/en/car/hyundai/i10/7238354,2026-06-25
Kia,Cerato,"1,135,000 EGP",2019,"57,000 KM",Automatic,Diesel,Qena,https://eg.hatla2ee.com/en/car/kia/cerato/7238348,2026-06-25
Porsche,Cayenne S,"14,500,000 EGP",2025,0 KM,Automatic,Gas,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/new-car/porsche/cayenne-s/unit/7205398,2026-06-25
Hyundai,Tucson GDI,"2,050,000 EGP",2025,0 KM,Automatic,Gas,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/new-car/hyundai/Tucson-GDI/unit/7168145,2026-06-25
Mercedes,E 200,"6,300,000 EGP",2026,0 KM,Automatic,Gas,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/new-car/mercedes/e-200/unit/7217598,2026-06-25
Kia,Sportage,"2,050,000 EGP",2025,0 KM,Automatic,Gas,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/new-car/kia/sportage/unit/7176316,2026-06-25
Hyundai,Tucson GDI,"1,800,000 EGP",2022,"18,000 KM",Automatic,Gas,"Smouha, Alexandria",https://eg.hatla2ee.com/en/car/hyundai/Tucson-GDI/7238351,2026-06-25
Chery,Arrizo 5,"690,000 EGP",2025,"12,000 KM",Automatic,Gas,"Nasr city, Cairo",https://eg.hatla2ee.com/en/car/chery/Arrizo-5/7238350,2026-06-25
Chevrolet,Optra,"9,500 EGP",2018,0 KM,Automatic,Gas,Monufia,https://eg.hatla2ee.com/en/new-car/chevrolet/optra/unit/7238349,2026-06-25
Arcfox,Other,"1,095,000 EGP",2027,0 KM,Automatic,Electric,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/new-car/arcfox/other-arcfox/unit/7238353,2026-06-25
Ford,Focus,"490,000 EGP",2012,"250,000 KM",Automatic,Gas,"Madinaty, Cairo",https://eg.hatla2ee.com/en/car/ford/focus/7212436,2026-06-25
Mercedes,C 180,"1,800,000 EGP",2018,"130,000 KM",Automatic,Gas,"Heliopolis, Cairo",https://eg.hatla2ee.com/en/car/mercedes/c-180/7229941,2026-06-25
Porsche,Macan,"5,000,000 EGP",2024,"9,000 KM",Automatic,Gas,"Sheikh Zayed City, Giza",https://eg.hatla2ee.com/en/car/porsche/macan/7238346,2026-06-25
Mercedes,E 200,"2,050,000 EGP",2014,"88,000 KM",Automatic,Gas,"10th of Ramadan, Cairo",https://eg.hatla2ee.com/en/car/mercedes/e-200/7238342,2026-06-25
Mercedes,C 200,"2,350,000 EGP",2019,"130,000 KM",Automatic,Gas,"Heliopolis, Cairo",https://eg.hatla2ee.com/en/car/mercedes/c-200/7205337,2026-06-25
Opel,Meriva,"550,000 EGP",2016,"134,000 KM",Automatic,Diesel,Alexandria,https://eg.hatla2ee.com/en/car/opel/meriva/7238343,2026-06-25
Xiaomi,Yu7,"3,150,000 EGP",2025,0 KM,Automatic,Electric,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/new-car/xiaomi/xiaomi-yu7/unit/7187585,2026-06-25
Xiaomi,Yu7,"3,150,000 EGP",2025,0 KM,Automatic,Electric,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/new-car/xiaomi/xiaomi-yu7/unit/7156756,2026-06-25
Renault,Megane,"715,000 EGP",2020,"107,000 KM",Automatic,Gas,"Maadi, Cairo",https://eg.hatla2ee.com/en/car/renault/megane/7238341,2026-06-25
Mercedes,E 200,"5,850,000 EGP",2026,0 KM,Automatic,Gas,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/new-car/mercedes/e-200/unit/7137536,2026-06-25
MG,5,"1,050,000 EGP",2026,0 KM,Automatic,Gas,"Pyramids Gardens, Giza",https://eg.hatla2ee.com/en/new-car/moris-garage/mg-5/unit/7199380,2026-06-25
Mercedes,GLA 200,"1,570,000 EGP",2015,"70,000 KM",Automatic,Gas,"Pyramids Gardens, Giza",https://eg.hatla2ee.com/en/car/mercedes/GLA-200/7199347,2026-06-25
Nissan,Sentra,"830,000 EGP",2023,"50,000 KM",Automatic,Gas,"Pyramids Gardens, Giza",https://eg.hatla2ee.com/en/car/nissan/sentra/7199394,2026-06-25
Chevrolet,Optra,"810,000 EGP",2027,0 KM,Automatic,Gas,"Pyramids Gardens, Giza",https://eg.hatla2ee.com/en/new-car/chevrolet/optra/unit/7218786,2026-06-25
Mercedes,C 180,"1,875,000 EGP",2015,"85,000 KM",Automatic,Gas,"Pyramids Gardens, Giza",https://eg.hatla2ee.com/en/car/mercedes/c-180/7236351,2026-06-25
BMW,320,"1,700,000 EGP",2017,"72,000 KM",Automatic,Gas,"Hadayek October, Giza",https://eg.hatla2ee.com/en/car/bmw/320/7229955,2026-06-25
Renault,Logan,"300,000 EGP",2015,"387,000 KM",Manual,Gas,Alexandria,https://eg.hatla2ee.com/en/car/renault/logan/7235090,2026-06-25
Arcfox,Other,"1,950,000 EGP",2027,0 KM,Automatic,Electric,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/new-car/arcfox/other-arcfox/unit/7238340,2026-06-25
BMW,X1,"1,675,000 EGP",2019,"77,000 KM",Automatic,Gas,"Pyramids Gardens, Giza",https://eg.hatla2ee.com/en/car/bmw/x1/7236334,2026-06-25
Baic,U5 plus,"860,000 EGP",2026,0 KM,Automatic,Gas,"Nasr city, Cairo",https://eg.hatla2ee.com/en/new-car/baic/U5-plus/unit/7238338,2026-06-25
Opel,Insignia,"1,000,000 EGP",2019,"170,000 KM",Automatic,Gas,"Heliopolis, Cairo",https://eg.hatla2ee.com/en/car/opel/insignia/7233902,2026-06-25
Kia,Sportage,"1,800,000 EGP",2026,0 KM,Automatic,Gas,"Nasr city, Cairo",https://eg.hatla2ee.com/en/new-car/kia/sportage/unit/7221692,2026-06-25
MG,7,"1,650,000 EGP",2026,0 KM,Automatic,Gas,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/new-car/moris-garage/mg-7/unit/7221547,2026-06-25
Daihatsu,Terios,"215,000 EGP",2000,"305,000 KM",Manual,Gas,Giza,https://eg.hatla2ee.com/en/car/daihatsu/terios/7238331,2026-06-25
Toyota,Corolla,"890,000 EGP",2021,"138,000 KM",Automatic,Gas,"Nasr city, Cairo",https://eg.hatla2ee.com/en/car/toyota/corolla/7236980,2026-06-25
Renault,Fluence,"380,000 EGP",2011,"190,000 KM",Automatic,Gas,"Faisal, Giza",https://eg.hatla2ee.com/en/car/renault/fluence/7238327,2026-06-25
Fiat,128,"50,000 EGP",1979,"11,111,164 KM",Manual,Gas,"Ismailia Desert, Cairo",https://eg.hatla2ee.com/en/car/fiat/128/7238220,2026-06-25
Mercedes,S 500,"7,200,000 EGP",2021,"33,000 KM",Automatic,Gas,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/car/mercedes/s-500/7209182,2026-06-25
Opel,Vectra,"480,000 EGP",2008,"328,000 KM",Automatic,Gas,"Sheraton, Cairo",https://eg.hatla2ee.com/en/car/opel/vectra/7185852,2026-06-25
Nissan,Juke,"490,000 EGP",2012,"175,000 KM",Automatic,Gas,"Sheikh Zayed City, Giza",https://eg.hatla2ee.com/en/car/nissan/juke/7237483,2026-06-25
Opel,Insignia,"7,200,001 EGP",2014,"300,000 KM",Automatic,Gas,"Sadat City, Monufia",https://eg.hatla2ee.com/en/car/opel/insignia/7238324,2026-06-25
Skoda,Octavia A4,"400,000 EGP",2006,"180,000 KM",Manual,Gas,Cairo,https://eg.hatla2ee.com/en/car/skoda/Octavia-A4/7238321,2026-06-25
Chery,Arrizo 5,"575,000 EGP",2022,"105,000 KM",Automatic,Gas,"El Hawamdeyya, Giza",https://eg.hatla2ee.com/en/car/chery/Arrizo-5/7238320,2026-06-25
Audi,Q4 E-Tron,"2,300,000 EGP",2024,0 KM,Automatic,Electric,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/new-car/audi/audi-q4-e-tron/unit/7229304,2026-06-25
Nissan,Juke,"950,000 EGP",2021,"98,500 KM",Automatic,Gas,"El Tagamoa El Khames, Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/car/nissan/juke/7236317,2026-06-25
Fiat,128,"60,000 EGP",1989,"94,500 KM",Manual,Gas,"Warraq, Giza",https://eg.hatla2ee.com/en/car/fiat/128/7151856,2026-06-25
Daewoo,Lanos 2,"275,000 EGP",2003,"122,000 KM",Manual,Gas,Cairo,https://eg.hatla2ee.com/en/car/daewoo/lanos-2/7238316,2026-06-25
BMW,X5,"5,250,000 EGP",2024,"4,000 KM",Automatic,Gas,"Nasr city, Cairo",https://eg.hatla2ee.com/en/car/bmw/x5/7229824,2026-06-25
Mercedes,C 180,"12,500,000 EGP",2014,264 KM,Automatic,Gas,"Sheikh Zayed City, Giza",https://eg.hatla2ee.com/en/car/mercedes/c-180/7238314,2026-06-25
Seat,Leon,"420,000 EGP",2003,"198,000 KM",Automatic,Gas,"Obour City, Cairo",https://eg.hatla2ee.com/en/car/seat/leon/7221421,2026-06-25
BMW,X1,"650,000 EGP",2013,"280,000 KM",Automatic,Gas,Kafr el-Sheikh,https://eg.hatla2ee.com/en/car/bmw/x1/7235567,2026-06-25
Hyundai,Matrix,"300,000 EGP",2008,"200,000 KM",Automatic,Gas,Giza,https://eg.hatla2ee.com/en/car/hyundai/matrix/7238313,2026-06-25
Chevrolet,Optra,"405,000 EGP",2012,"192,000 KM",Automatic,Gas,Giza,https://eg.hatla2ee.com/en/car/chevrolet/optra/7238308,2026-06-25
Daewoo,Lanos 2,"235,000 EGP",2002,"170,000 KM",Manual,Gas,"Shubra al-Khaimah, Qalyubia",https://eg.hatla2ee.com/en/car/daewoo/lanos-2/7238307,2026-06-25
Hyundai,Elantra,"135,000 EGP",1993,"261,000 KM",Manual,Gas,Cairo,https://eg.hatla2ee.com/en/car/hyundai/elantra/7238169,2026-06-25
Jeep,Grand Cherokee,"1,500,000 EGP",2016,320 KM,Automatic,Gas,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/car/jeep/grand-Cherokee/7238302,2026-06-25
Renault,Logan,"420,000 EGP",2016,"170,000 KM",Automatic,Gas,"Obour City, Cairo",https://eg.hatla2ee.com/en/car/renault/logan/7238301,2026-06-25
Kia,Carens,"580,000 EGP",2011,"237,000 KM",Automatic,Gas,"El Shorouk, Cairo",https://eg.hatla2ee.com/en/car/kia/carens/7238299,2026-06-25
Nissan,Tiida,"470,000 EGP",2009,"140,000 KM",Automatic,Gas,"Dokki, Giza",https://eg.hatla2ee.com/en/car/nissan/tiida/7238297,2026-06-25
Mitsubishi,Lancer EX Shark,"450,000 EGP",2008,"353,000 KM",Automatic,Gas,Giza,https://eg.hatla2ee.com/en/car/mitsubishi/Lancer-EX-Shark/7238293,2026-06-25
