Brand,Model,Price,Year,Mileage,Transmission type,Fuel type,Location,Link,Posted On
Mercedes,C 200,"3,900,000 EGP",2026,0 KM,Automatic,Gas,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/new-car/mercedes/c-200/unit/7168990,2026-06-18
Skoda,Octavia,"1,790,000 EGP",2022,"81,000 KM",Automatic,Gas,"Madinaty, Cairo",https://eg.hatla2ee.com/en/car/skoda/octavia/7180431,2026-06-18
MG,5,"720,000 EGP",2021,"100,000 KM",Automatic,Gas,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/car/moris-garage/mg-5/7217527,2026-06-18
Mercedes,CLA 200,"1,690,000 EGP",2021,"85,000 KM",Automatic,Gas,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/car/mercedes/cla-200/7227663,2026-06-18
Chery,Tiggo 7,"880,000 EGP",2023,"46,500 KM",Automatic,Natural Gas,Cairo,https://eg.hatla2ee.com/en/car/chery/Tiggo-7/7234242,2026-06-18
Renault,14,"345,000 EGP",2014,"202,000 KM",Manual,Diesel,Cairo,https://eg.hatla2ee.com/en/car/renault/14/7234241,2026-06-18
Volkswagen,Tiguan,"2,350,000 EGP",2024,"49,000 KM",Automatic,Gas,"Tagamo3 - New Cairo, Cairo",https://eg.hatla2ee.com/en/car/volks-wagen/tiguan/7213686,2026-06-18
Rox,1,"3,650,000 EGP",2026,0 KM,Automatic,Electric,"Sheikh Zayed City, Giza",https://eg.hatla2ee.com/en/new-car/rox/rox-01/unit/7234234,2026-06-18
Ford,Escort,"120,000 EGP",1999,0 KM,Manual,Gas,Cairo,https://eg.hatla2ee.com/en/car/ford/ascot/7234230,2026-06-18
Kia,Rio,"250,000 EGP",2004,"335,000 KM",Automatic,Natural Gas,"Obour City, Cairo",https://eg.hatla2ee.com/en/car/kia/rio/7234229,2026-06-18
Volkswagen,Polo,"330,000 EGP",2004,"160,000 KM",Automatic,Gas,Alexandria,https://eg.hatla2ee.com/en/car/volks-wagen/polo/7225066,2026-06-18
MG,ZS,"865,000 EGP",2021,"80,000 KM",Automatic,Gas,Ismailia,https://eg.hatla2ee.com/en/car/moris-garage/zs/7234227,2026-06-18
Nissan,Qashqai,"1,540,000 EGP",2025,"13,000 KM",Automatic,Gas,"Nasr city, Cairo",https://eg.hatla2ee.com/en/car/nissan/qashqai/7223336,2026-06-18
Peugeot,3008,"2,280,000 EGP",2026,"2,000 KM",Automatic,Gas,El Faiyum,https://eg.hatla2ee.com/en/car/peugeot/3008/7234221,2026-06-18
Seat,Ibiza,"1,150,000 EGP",2026,0 KM,Automatic,Gas,"Tanta, Gharbia",https://eg.hatla2ee.com/en/new-car/seat/ibiza/unit/7234219,2026-06-18
Renault,Clio,"125,000 EGP",2003,"210,000 KM",Manual,Gas,"El Haram, Giza",https://eg.hatla2ee.com/en/car/renault/clio/7234214,2026-06-18
Mitsubishi,Lancer,"750,000 EGP",2016,"210,000 KM",Automatic,Gas,"Nasr city, Cairo",https://eg.hatla2ee.com/en/car/mitsubishi/lancer/7234212,2026-06-18
