name,mae,rmse,r2,mape
Ridge Regression,501395.18116816506,1237846.8038610746,0.5346926829383607,34.51724199472165
Random Forest,276799.3748161254,732763.1560537108,0.8369452962525344,20.90475141044287
HistGradientBoosting (default),298734.0870521659,750509.1289072189,0.8289519840220384,22.006517465868175
HistGradientBoosting (tuned),284017.76072103414,712395.0111000027,0.8458839670170122,21.132866027102672
