name,mae,rmse,r2,mape
Ridge Regression,466547.9984461798,1128667.1259208415,0.5524507315321103,33.397539744467494
Random Forest,261178.810756959,690005.4057571316,0.832731529242438,19.826802434205078
HistGradientBoosting (default),285997.96777495946,714525.9262753705,0.820631951426979,21.191460490750053
HistGradientBoosting (tuned),270698.59565001744,669334.5584325948,0.8426033091592013,20.21866145449285
