name,mae,rmse,r2,mape
Ridge Regression,581249.9306410572,1378164.3493927382,0.5001578348274968,36.21745515666058
Random Forest,390084.5406735772,985079.5801968261,0.7446278694747861,23.29036363180751
XGBoost,376309.36516181764,933560.9963126868,0.7706407477237626,22.29058805059591
